x	x_err	y
2.5815104376642926	0.0035478795180478883	8.393868830791629e-05
2.596108380602369	0.0033995707955711135	5.6782844403469035e-05
2.7196220889132285	0.7105597098714014	0.0007402437011135854
2.880782307441956	0.001128014349226912	8.519498895576127e-06
2.884072656504424	0.0003242919300418489	1.0001914944046675e-06
2.892615680154422	0.0038842093554403417	8.436811096934616e-05
2.9992525904942546	0.005600735723612397	0.00012264931615602048
3.2013589804622615	0.002889373882757241	3.6534067561100336e-05
3.1993463290030904	0.09465387756973977	1.004619634037418e-06
3.209600321063707	0.0035707625934335687	6.834440170233602e-05
