#Saved Data from the class pulsed_measurement_logic on 21.07.2022 at 18h28m01s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.0329398798942566e+02
#Measurement sweeps: -1
#Number of laser pulses: 100
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 1.8000000000000002e-08, 'signal_end': 2.1200000000000002e-07, 'norm_start': 1.3920000000000002e-06, 'norm_end': 2.3720000000000003e-06, 'method': 'mean_norm'}
#extraction parameters: {'conv_std_dev': 10.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 100, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
1.000000000000000e-08	9.218106993062957e-01
2.000000000000000e-08	9.224227277723152e-01
3.000000000000000e-08	9.207542004435676e-01
4.000000000000000e-08	9.225668656114615e-01
5.000000000000000e-08	9.209322681731855e-01
5.999999999999999e-08	9.194589628684020e-01
7.000000000000000e-08	9.220795112981389e-01
8.000000000000000e-08	9.203670465712770e-01
9.000000000000000e-08	9.217902587423300e-01
1.000000000000000e-07	9.212961023701318e-01
1.100000000000000e-07	9.232345944208489e-01
1.200000000000000e-07	9.223498123678713e-01
1.300000000000000e-07	9.209487485639524e-01
1.400000000000000e-07	9.235629146600909e-01
1.500000000000000e-07	9.218562073866374e-01
1.600000000000000e-07	9.219997308809814e-01
1.700000000000000e-07	9.227145220560237e-01
1.800000000000000e-07	9.192884771480216e-01
1.900000000000000e-07	9.224434256534425e-01
2.000000000000000e-07	9.218454748134648e-01
2.100000000000000e-07	9.214229012397596e-01
2.200000000000000e-07	9.237050214105254e-01
2.300000000000000e-07	9.224794820522311e-01
2.400000000000000e-07	9.226028080721803e-01
2.500000000000000e-07	9.203850616598747e-01
2.600000000000000e-07	9.217057200295413e-01
2.700000000000000e-07	9.224685186456159e-01
2.800000000000000e-07	9.208757976461649e-01
2.900000000000000e-07	9.217273362099155e-01
3.000000000000000e-07	9.221899452157976e-01
3.100000000000000e-07	9.230142024809403e-01
3.200000000000000e-07	9.241498264348350e-01
3.300000000000000e-07	9.245285571109783e-01
3.400000000000000e-07	9.225902928654626e-01
3.500000000000000e-07	9.222413503313620e-01
3.600000000000000e-07	9.238737459942969e-01
3.700000000000000e-07	9.211700501694389e-01
3.800000000000000e-07	9.241634951059692e-01
3.900000000000000e-07	9.243099495411792e-01
4.000000000000000e-07	9.221020862066736e-01
4.100000000000000e-07	9.231372377179020e-01
4.200000000000000e-07	9.232904531069581e-01
4.300000000000000e-07	9.234369145604526e-01
4.400000000000000e-07	9.232307580870718e-01
4.500000000000000e-07	9.220749210338985e-01
4.600000000000000e-07	9.238859992810909e-01
4.700000000000000e-07	9.209179083457545e-01
4.800000000000000e-07	9.239096967974368e-01
4.900000000000001e-07	9.240578583893018e-01
5.000000000000000e-07	9.225311688657755e-01
5.100000000000000e-07	9.238429927171656e-01
5.200000000000000e-07	9.213085488032765e-01
5.300000000000000e-07	9.239307380448065e-01
5.400000000000000e-07	9.234934123778699e-01
5.500000000000000e-07	9.232034023950485e-01
5.600000000000000e-07	9.212265678807688e-01
5.700000000000000e-07	9.230033069320082e-01
5.800000000000001e-07	9.242530956827093e-01
5.900000000000001e-07	9.242393389107438e-01
6.000000000000000e-07	9.234372387422392e-01
6.100000000000000e-07	9.240227181580071e-01
6.200000000000000e-07	9.216275888658917e-01
6.300000000000000e-07	9.234294842647628e-01
6.400000000000000e-07	9.218329881777062e-01
6.500000000000000e-07	9.218151142643433e-01
6.600000000000000e-07	9.207468362430739e-01
6.700000000000000e-07	9.241460639480407e-01
6.800000000000001e-07	9.236123916560401e-01
6.900000000000001e-07	9.221853366483634e-01
7.000000000000001e-07	9.210897234439155e-01
7.100000000000000e-07	9.208243195306293e-01
7.200000000000000e-07	9.225670936154086e-01
7.300000000000000e-07	9.223186190736388e-01
7.400000000000000e-07	9.223483613584388e-01
7.500000000000000e-07	9.245097205995987e-01
7.600000000000000e-07	9.227313054130941e-01
7.700000000000000e-07	9.214583660633396e-01
7.800000000000000e-07	9.220128285052167e-01
7.900000000000001e-07	9.230515109329470e-01
8.000000000000001e-07	9.233577874053436e-01
8.100000000000000e-07	9.238292135809849e-01
8.200000000000000e-07	9.243370933353874e-01
8.300000000000000e-07	9.237557185822113e-01
8.400000000000000e-07	9.237896735441302e-01
8.500000000000000e-07	9.245197375522020e-01
8.600000000000000e-07	9.231116547132330e-01
8.700000000000000e-07	9.234961135808819e-01
8.800000000000000e-07	9.212694445709149e-01
8.900000000000001e-07	9.226242597805497e-01
9.000000000000001e-07	9.217277672487948e-01
9.100000000000001e-07	9.229901580599140e-01
9.200000000000000e-07	9.220182176450366e-01
9.300000000000000e-07	9.204531583770489e-01
9.400000000000000e-07	9.219664365513789e-01
9.500000000000000e-07	9.199989080554947e-01
9.599999999999999e-07	9.216203412033377e-01
9.700000000000000e-07	9.215496299481285e-01
9.799999999999999e-07	9.210615176848092e-01
9.899999999999998e-07	9.218373069178855e-01
1.000000000000000e-06	9.217006661680952e-01
