#Saved Data from the class pulsed_measurement_logic on 21.07.2022 at 18h15m12s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.7760040950775146e+02
#Measurement sweeps: -1
#Number of laser pulses: 400
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 1.8000000000000002e-08, 'signal_end': 2.1200000000000002e-07, 'norm_start': 1.3920000000000002e-06, 'norm_end': 2.3720000000000003e-06, 'method': 'mean_norm'}
#extraction parameters: {'conv_std_dev': 10.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 400, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
1.000000000000000e-08	9.352047576935013e-01
2.000000000000000e-08	9.294200655910259e-01
3.000000000000000e-08	9.356990335506179e-01
4.000000000000000e-08	9.338297305433005e-01
5.000000000000000e-08	9.352710070771857e-01
5.999999999999999e-08	9.360078897521079e-01
7.000000000000000e-08	9.344862900254662e-01
8.000000000000000e-08	9.358501421473367e-01
9.000000000000000e-08	9.349780930603848e-01
1.000000000000000e-07	9.360035395384879e-01
1.100000000000000e-07	9.317029639803606e-01
1.200000000000000e-07	9.339474494189008e-01
1.300000000000000e-07	9.343909159372755e-01
1.400000000000000e-07	9.340820640623341e-01
1.500000000000000e-07	9.312949149492167e-01
1.600000000000000e-07	9.393431469306144e-01
1.700000000000000e-07	9.304239933184462e-01
1.800000000000000e-07	9.297900825741792e-01
1.900000000000000e-07	9.347472659924498e-01
2.000000000000000e-07	9.323714696244186e-01
2.100000000000000e-07	9.342511943780955e-01
2.200000000000000e-07	9.360878461625908e-01
2.300000000000000e-07	9.318264328699052e-01
2.400000000000000e-07	9.316267183456137e-01
2.500000000000000e-07	9.288021092994355e-01
2.600000000000000e-07	9.311146702021511e-01
2.700000000000000e-07	9.349522675667560e-01
2.800000000000000e-07	9.325524492013340e-01
2.900000000000000e-07	9.354421888287476e-01
3.000000000000000e-07	9.308885299983619e-01
3.100000000000000e-07	9.340170547577705e-01
3.200000000000000e-07	9.321166923726143e-01
3.300000000000000e-07	9.357666632173385e-01
3.400000000000000e-07	9.302118176981999e-01
3.500000000000000e-07	9.306045502306342e-01
3.600000000000000e-07	9.314215056240482e-01
3.700000000000000e-07	9.315173280940380e-01
3.800000000000000e-07	9.306270407865286e-01
3.900000000000000e-07	9.266497744437219e-01
4.000000000000000e-07	9.358605068648684e-01
4.100000000000000e-07	9.270577692976422e-01
4.200000000000000e-07	9.277506636549214e-01
4.300000000000000e-07	9.285063674516634e-01
4.400000000000000e-07	9.358890146128824e-01
4.500000000000000e-07	9.306566857016079e-01
4.600000000000000e-07	9.310724627812442e-01
4.700000000000000e-07	9.303764086398620e-01
4.800000000000000e-07	9.253793501692397e-01
4.900000000000001e-07	9.295710180820885e-01
5.000000000000000e-07	9.347996304885434e-01
5.100000000000000e-07	9.300218370215507e-01
5.200000000000000e-07	9.280653638191403e-01
5.300000000000000e-07	9.356414718623530e-01
5.400000000000000e-07	9.287776763838986e-01
5.500000000000000e-07	9.331646363462222e-01
5.600000000000000e-07	9.343357117760558e-01
5.700000000000000e-07	9.333490986217086e-01
5.800000000000001e-07	9.303544520314112e-01
5.900000000000001e-07	9.339291900762859e-01
6.000000000000000e-07	9.346106537998089e-01
6.100000000000000e-07	9.355454671000492e-01
6.200000000000000e-07	9.309904413818164e-01
6.300000000000000e-07	9.308766670134155e-01
6.400000000000000e-07	9.335909213189811e-01
6.500000000000000e-07	9.310264252181534e-01
6.600000000000000e-07	9.315342651196050e-01
6.700000000000000e-07	9.321046220654196e-01
6.800000000000001e-07	9.285896185196805e-01
6.900000000000001e-07	9.357762123861882e-01
7.000000000000001e-07	9.312005921902040e-01
7.100000000000000e-07	9.315326745887844e-01
7.200000000000000e-07	9.317513516997958e-01
7.300000000000000e-07	9.313011757688984e-01
7.400000000000000e-07	9.335688054025054e-01
7.500000000000000e-07	9.314951082072039e-01
7.600000000000000e-07	9.289233887143330e-01
7.700000000000000e-07	9.343641742630436e-01
