0,0
0.7,45.2
1.46,99.5
2.13,141.0
2.90,193.2
3.57,240.3
4.38,296.4
5.13,347
5.84,395
6.49,439
7.17,483
8.17,544
8.96,586
9.48,611
9.78,623
